lng,lat
-73.81736,40.76538
-73.329544,40.761669
-73.8136,41.0572
-73.5166,40.7254
-71.8794,42.2653
-73.8892101,40.6634613
-78.7997616,42.9783924
-73.954915,40.640213
-78.6899832,42.6410427
-73.984182,44.2863015
-73.9367851,40.6149173
-73.8610789,40.8771847
-75.9142191,42.0766662
-73.6938135,40.7549606
-73.957,40.6467
-73.8329203,40.8401568
-73.7968,40.7606
-73.9527568,40.766083
-73.95094,40.706998
-74.1765115,43.2270889
-73.7433233,40.6787841
-73.7561524,40.6948883
-73.9061689,40.692016
-73.7851,42.8499
-72.958546,40.833231
-77.5241138,43.1116541
-73.8226,40.7536
-73.3634,40.8143
-78.799004,42.9236986
-73.7354,42.6847
-73.9910255,40.7471682
-76.1474244,43.0481221
-79.1645733,42.541265
-75.2223131,43.0758323
-73.4236992,40.6893089
-73.9824597,40.7572799
-73.9994159,40.7243454
-77.3787785,42.983171
-73.519057,40.751668
-73.6683,42.7287
-74.005719,40.75092
-73.75623,42.65258
-74.0088913,40.681397
-73.8029028,42.3509179
-73.7931744,42.9596547
-73.9471619,40.8165487
-73.8473,40.7229
-74.0254724,40.6158227
-78.9590237,42.9967396
-78.7436436,42.6688935
-73.8326996,40.8869688
-78.7715205,42.1453515
-73.7353,40.6621
-73.5809397,40.6553237
-79.0371507,43.1708719
-73.713489,40.6688556
-73.5223981,40.7666999
-73.7975681,40.5940925
-73.8551457,41.1667417
-73.928911,40.808734
-73.9365148,40.6414575
-73.9238673,40.6120056
-73.9069,40.745
-73.7756989,41.8976311
-73.9866979,40.7541258
-73.7257329,40.6752163
-73.4097768,40.6806095
-73.4849086,40.7806375
-73.8278,40.8729
-73.9952368,40.6340355
-78.8148762,42.8784601
-73.719114,42.6033612
-73.3885463,40.6818386
-73.7085883,40.7276982
-73.6402711,42.8870107
-73.8999,40.8486
-73.8574765,42.966341
-73.8961,40.7036
-78.9971354,42.9819449
-75.9798236,42.0531511
-73.6262748,40.7076942
-76.1401662,43.0474802
-73.9908121,40.7503743
-73.98442,40.7467987
-73.7709121,41.0334043
-73.9425002,40.8096162
-73.992602,40.742185
-78.6443748,42.5983272
